doc_name,ARI readability feature,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per section,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per section,Largest section size,Lasbarhetsindex readability feature,Mean section size,Relative URL link count per length,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Shortest section size,Standard deviation of the section size,Subsection count,Auxiliary verbs count,Char Count,Coordination conjunctions count,Correlative conjunctions count,Indefinite pronouns count,Interrogative pronouns count,Mean subsection size,Phrase count,Word Count,Large phrase rate,Largest phrase size,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,To be verbs count
6693,9.449873663751212,10.68363459669582,5,5,12.889232264334307,31.744713313897023,14.9687074829932,0,0,0,37.421768707483,0,0.004930966469428008,35.07802986469088,0,0,0,0,0,0,7,28,6084,27,3,28,0,737.5714285714286,63,1029,0.1746031746031746,207,8,0,1,0,2,0,2,5,0,5,0,0.42857142857142855,14
66951,16.745312686312772,15.045470745187728,53,53,16.51799887912424,21.03336650464672,17.18609806214342,20,20,0,42.965245155358545,0,0.010650853507585135,105.44022647378324,306,0.004404271855839258,306,0,0,0,8,187,69478,404,16,109,56,8150.875,421,10494,0.24228028503562943,594,17,0,3,0,6,1,28,26,2,13,0,0.4418052256532066,210
669656,16.30540463917525,11.351752577319589,0,0,15.93909149484536,34.777090850515464,16.74355670103093,0,0,0,41.85889175257732,0,0.010362694300518137,25.02271554554524,2,0.000690846286701209,2,0,0,0,1,8,2895,21,0,9,2,66,16,485,0.1875,100,0,0,0,0,0,0,2,2,0,0,0,0.5,5
6697169,13.010598728904183,11.930950215414072,12,12,12.542326319220232,44.72266784983145,13.74335882994001,2,2,0,34.358397074850025,0,0.005622174169451543,67.63745044476924,76,0.002988008649498722,76,0,0,0,6,61,25435,167,6,55,21,3843,188,4178,0.18617021276595744,297,27,0,3,1,7,0,13,15,1,3,0,0.4574468085106383,65
670219,10.56891720257898,11.205105338759871,11,11,13.836708566204091,27.92796998443862,13.502897228666011,0,0,0,33.75724307166503,0,0.0037980079835678022,94.40021881811882,0,0,0,0,0,0,13,281,51606,345,24,149,33,3814.692307692307,464,8354,0.21120689655172417,659,21,1,9,0,9,2,21,28,1,15,0,0.5969827586206896,214
670415,12.968475351607346,10.390552884615383,7,7,12.96604226463835,46.3378196756602,14.285289896670497,1,1,0,35.713224741676235,0,0.02205492524652741,43.79215610874227,2,0.0002120665889089174,2,0,0,0,6,18,9431,40,2,14,4,1227.5,67,1664,0.07462686567164178,396,8,0,0,0,0,0,8,9,0,1,0,0.6716417910447762,33
67055,10.54161174138028,10.42339180402238,25,25,11.483492543124653,47.272661916699235,12.711063474459133,9,9,0,31.77765868614783,0,0.006113197772309287,84.32035415564789,8,0.00020722704312912835,8,0,0,0,11,104,38605,250,19,64,43,3470.6363636363635,341,6613,0.249266862170088,427,22,1,0,2,8,4,27,47,5,27,0,0.3870967741935484,71
670570,14.044097698119842,11.16926199261993,1,1,13.69425672113864,42.85115621156214,15.047056756281847,0,0,0,37.61764189070462,0,0.003656164916374952,49.561786907291264,12,0.0009334889148191366,12,0,0,0,5,28,12855,77,7,27,7,2463,84,2168,0.2619047619047619,285,10,0,1,0,1,0,16,5,0,9,0,0.3928571428571429,36
6709952,10.984723885562204,11.428622754491016,2,2,11.50175648702595,45.65021290751832,12.452162341982705,0,0,0,31.130405854956756,0,0.020895522388059706,15.922847983320086,0,0,0,0,0,0,0,1,1005,5,0,1,1,0,9,167,0.2222222222222222,62,0,0,0,0,0,0,1,2,0,1,0,0.5555555555555556,5
6712346,12.20723003981324,12.34628837443382,5,5,12.256001534728211,42.23341775999444,13.74751528499604,12,12,0,34.368788212490095,0,0.00758842968463139,66.03967004989795,78,0.003182244706458325,78,0,0,0,6,42,24511,164,2,47,10,3664,202,3974,0.12376237623762376,270,22,0,2,0,5,0,19,16,1,11,0,0.31683168316831684,91
6714969,8.56113512170889,9.610134128166916,1,1,10.010333830104326,52.266211127670175,10.91799304520616,3,3,0,27.2949826130154,0,0.007519280205655527,54.807335387954474,72,0.004627249357326478,72,0,0,0,5,37,15560,94,2,20,18,2781.8,165,2684,0.13333333333333333,232,13,1,1,0,1,0,12,22,1,6,0,0.34545454545454546,90
6732877,68.32600963135171,2.038515443374294,0,0,56.958442211889746,-45.15558145134504,61.03036200597809,1,1,0,152.57590501494522,0,0.01898670930348756,57.872579673275794,19,0.001898670930348756,19,0,0,0,4,1,10007,12,0,3,4,2221.5,20,3011,0.15,2051,0,0,0,0,0,0,0,1,0,0,0,0.85,4
673306,5.789043168121999,6.926387283236995,2,2,8.17611609888083,62.66791231090889,9.184159389988933,0,0,0,22.96039847497233,0,0.010106528270964218,29.30589287593181,0,0,0,0,0,0,5,9,3661,15,0,5,6,575.2,47,692,0.1914893617021277,110,5,0,0,0,0,0,0,1,0,1,0,0.425531914893617,17
673804,11.577834050856382,9.459856041131104,6,6,11.864940688202685,51.73490042431942,12.108712484901044,2,2,0,30.27178121225261,0,0.0067549064354176175,47.10215414239989,25,0.0022820629849383844,25,0,0,0,9,30,10955,54,4,9,5,1158.5555555555557,83,1945,0.060240963855421686,313,11,0,2,0,0,0,13,5,0,1,0,0.5060240963855421,37
6739570,16.54047756736781,19.56203436807095,8,8,10.541504764187696,48.43231207926331,10.913317752342143,6,6,0,27.283294380855356,0,0.006239786064477789,45.47352116319061,0,0,0,0,0,0,6,19,13462,58,3,29,4,2158.5,111,1804,0.26126126126126126,187,5,0,2,0,0,0,9,5,0,4,1,0.4864864864864865,32
674188,13.768149518874909,9.800673575129531,2,2,15.21674315321984,35.07383419689123,14.344633604737233,0,0,0,35.86158401184308,0,0.014911463187325256,16.892443989449802,1,0.0009319664492078284,1,0,0,0,5,2,1073,5,0,3,0,124.2,7,193,0.2857142857142857,41,2,0,0,0,0,0,0,1,0,0,0,0.5714285714285714,3
6742527,14.359978251436672,11.803437701743055,5,5,14.824417445416929,34.00739556985474,16.006311845823323,7,7,0,40.015779614558305,0,0.01127880122455556,58.65968020030299,57,0.003061388903807938,57,0,0,0,8,18,18619,80,2,11,8,2105.5,122,3098,0.13934426229508196,404,19,0,0,0,1,2,9,9,2,5,0,0.5163934426229508,34
674892,14.335375084255183,9.908030807660282,3,3,14.436247769715717,42.493098112683896,16.35066809404861,0,0,0,40.87667023512152,0,0.006601628401672412,52.01020301937138,31,0.0022738942272427197,31,0,0,0,4,57,13633,106,6,25,14,3192,84,2402,0.27380952380952384,281,9,1,1,0,2,0,3,9,0,4,0,0.4880952380952381,77
67511,11.15854218743597,11.700739868049013,35,35,11.361987160048628,46.468154694095006,12.67775929189034,9,9,0,31.694398229725852,0,0.006437879653185193,82.78721702127478,38,0.0009864493016977312,38,0,0,0,10,74,38522,190,7,82,28,3745.1,345,6366,0.19420289855072465,378,35,0,6,0,9,3,13,19,0,5,0,0.4405797101449275,128
